,album_name,track_name,artist,featuring,spotify_album,duration_ms,explicit,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,key,mode,key_name,mode_name,key_mode
0,Taylor Swift,Tim McGraw,Taylor Swift,,Taylor Swift,232106.0,False,0.41,0.35,0.22,0.95,0.75,0.78,76.0,0.0,1.0,C,major,C major
1,Taylor Swift,Picture To Burn,Taylor Swift,,Taylor Swift,173066.0,False,0.43,0.41,0.13,0.91,0.75,0.8,105.47,2.0,1.0,D,major,D major
2,Taylor Swift,Teardrops On My Guitar,Taylor Swift,,Taylor Swift,203040.0,False,0.45,0.32,0.25,0.96,0.76,0.48,99.38,5.0,0.0,F,minor,F minor
3,Taylor Swift,A Place In This World,Taylor Swift,,Taylor Swift,199200.0,False,0.48,0.38,0.14,0.94,0.74,0.79,114.84,9.0,1.0,A,major,A major
4,Taylor Swift,Cold As You,Taylor Swift,,Taylor Swift,239013.0,False,0.44,0.35,0.21,0.95,0.75,0.78,87.59,0.0,1.0,C,major,C major
5,Taylor Swift,The Outside,Taylor Swift,,Taylor Swift,207106.0,False,0.44,0.4,0.12,0.93,0.74,0.5,112.35,5.0,0.0,F,minor,F minor
6,Taylor Swift,Tied Together With A Smile,Taylor Swift,,Taylor Swift,248106.0,False,0.49,0.36,0.15,0.95,0.74,0.8,143.55,4.0,1.0,E,major,E major
7,Taylor Swift,Stay Beautiful,Taylor Swift,,Taylor Swift,236053.0,False,0.48,0.34,0.23,0.95,0.75,0.5,132.51,8.0,0.0,G#,minor,G# minor
8,Taylor Swift,Should've Said No,Taylor Swift,,Taylor Swift,242200.0,False,0.38,0.37,0.16,0.95,0.74,0.78,83.35,2.0,1.0,D,major,D major
9,Taylor Swift,Mary's Song (Oh My My My),Taylor Swift,,Taylor Swift,213080.0,False,0.51,0.38,0.17,0.94,0.75,0.8,147.66,9.0,1.0,A,major,A major
10,Taylor Swift,Our Song,Taylor Swift,,Taylor Swift,201106.0,False,0.45,0.35,0.22,0.96,0.75,0.78,89.1,9.0,1.0,A,major,A major
11,Taylor Swift,I'm Only Me When I'm With You,Taylor Swift,,Taylor Swift,213053.0,False,0.47,0.36,0.18,0.95,0.74,0.5,143.55,3.0,0.0,D#,minor,D# minor
